15007,64529,58463,10.4,6066,58463,4099,6.4,14648,22.7,14.9,9588,49.8,23317,423,329,20654,6013,13793,6740,20654,36.1,0.7,0.5,32.0,9.3,21.4,10.4,32.0,872,509,6,62.8,13.0,19.5,83.3,19.4,10662,21.5,30123,4792,18.9,61.4,216100,23.2,20183,2.87,20301,62501,9.9,2093,33356,32153,2982,9.3,43997,7123,4950,1554962,35342,1978,26053,31.4,6106,467176,6547,0.0,0.0,31.3,3.6,9.1,30.6,0,238711,714715,11914,512,218110,151534,477155,7492,622.44,94.0
16041,12676,11329,11.9,1347,11329,1213,9.6,4370,34.5,12.2,1550,49.2,12464,17,83,17,5,90,971,11536,98.3,0.1,0.7,0.1,0.0,0.7,7.7,91.0,205,77,0,59.1,3.4,7.1,88.2,13.6,1413,23.3,4453,581,15.0,80.8,94300,5.6,3476,3.24,13702,48315,9.3,317,26050,5756,293,5.1,6014,1225,961,169619,28204,302,2123,26.1,855,4115,960,0.0,0.0,0.0,0.0,0.0,30.4,0,58733,73250,6205,60,10287,224902,53648,4308,665.43,17.0
17019,195671,179668,8.9,16003,179669,12038,6.2,38198,19.5,10.1,19723,49.5,152686,23450,611,15040,103,3781,8438,145137,78.0,12.0,0.3,7.7,0.1,1.9,4.3,74.2,2509,1118,17,42.5,8.0,11.8,91.0,38.0,21966,16.8,85986,10707,14.2,55.7,94700,35.6,70597,2.33,19708,45840,18.7,5952,30838,104819,8579,8.2,128352,4791,35588,4913981,38285,4260,71610,1.3,11075,287196,13120,7.6,0.0,3.6,1.1,0.0,32.9,3024007,2613361,1921255,10538,478,77068,550481,1200775,6201,996.81,180.2
18033,42060,40285,4.4,1775,40285,2865,6.8,10916,26.0,13.2,5546,50.0,41166,239,96,198,20,341,956,40244,97.9,0.6,0.2,0.5,0.0,0.8,2.3,95.7,572,338,4,56.7,0.8,2.5,84.7,12.4,6528,19.3,17618,1474,9.1,81.5,88000,12.2,15134,2.63,19448,48698,10.3,1216,29136,20596,2708,13.1,27581,-764,2128,1088079,39450,1030,18851,-14.2,2311,36724,3071,0.0,0.0,0.0,0.0,0.0,30.0,3020530,239795,350016,8591,51,8771,160665,194674,4648,362.88,111.0
19033,43609,46447,-6.1,-2838,46447,2534,5.8,9301,21.3,17.8,7761,51.6,42137,506,89,376,15,486,1476,40745,96.6,1.2,0.2,0.9,0.0,1.1,3.4,93.4,549,483,5,58.7,1.4,3.4,87.3,20.3,7657,15.2,21946,458,2.1,71.5,75400,18.6,19374,2.32,19184,45023,13.1,1524,34636,25330,1641,6.5,34175,244,3184,1200355,35124,1483,22969,-1.3,2984,71742,4154,0.0,0.0,0.0,0.0,0.0,27.1,864708,503127,680176,14998,93,16308,336732,317900,7260,568.33,81.8
20091,542737,451482,20.2,91255,451086,39518,7.3,137982,25.4,10.7,58284,50.6,485562,24350,2764,21555,508,7998,34100,454719,89.5,4.5,0.5,4.0,0.1,1.5,6.3,83.8,7909,3096,48,50.0,5.7,8.2,94.9,47.7,48627,20.2,217867,36065,19.8,72.3,150100,22.9,174570,2.56,30919,76250,4.6,28062,53472,302947,19031,6.3,413824,50208,33105,21855705,52814,17352,317238,12.2,42881,835198,49543,1.2,0.4,2.6,1.6,0.0,29.1,4379631,19688243,7057213,14823,1501,226578,114202,2311335,4328,476.78,945.7
21073,48968,47687,2.7,1281,47687,3118,6.4,10646,21.7,13.8,6764,51.3,42598,5042,81,514,10,723,1110,41620,87.0,10.3,0.2,1.0,0.0,1.5,2.3,85.0,658,415,3,51.1,1.9,3.6,78.8,23.8,10136,18.2,23293,1884,8.8,64.8,91600,27.2,19907,2.30,21229,48291,13.1,1615,33366,24991,2243,9.0,40223,212,16486,1664336,41378,1159,16310,-3.6,2908,68257,3682,5.8,0.0,0.0,0.0,0.0,28.5,669608,0,567337,11788,350,34221,76306,1728454,35387,210.46,227.1
22087,40655,67229,-39.5,-26574,67229,3687,9.1,10889,26.8,9.2,3754,51.3,32239,6368,359,850,21,818,3497,29044,79.3,15.7,0.9,2.1,0.1,2.0,8.6,71.4,412,228,2,65.1,3.0,7.3,73.1,8.9,14518,29.3,17220,-9570,-35.7,74.6,85200,14.8,25123,2.64,16718,39106,20.3,1306,39050,17564,1148,6.5,14222,-8595,1498,633112,44516,607,6333,-54.5,2223,48307,4928,4.7,0.0,2.3,3.2,0.0,24.6,3082840,0,457970,6898,33,4099,32060,311407,8255,465.04,144.6
23011,121090,117115,3.4,3975,117114,6357,5.2,25103,20.7,15.5,18749,51.3,117402,777,546,1006,26,1333,1495,116061,97.0,0.6,0.5,0.8,0.0,1.1,1.2,95.8,1268,1160,12,60.8,2.2,7.8,85.2,20.7,22923,22.6,60779,4414,7.8,71.2,87200,23.1,47683,2.38,18520,45511,11.8,3882,32166,63778,4822,7.6,78834,3565,17150,2949986,37420,3413,45793,5.9,8993,151669,10901,0.0,0.0,0.0,0.0,0.0,21.4,596263,1136056,1962372,16539,317,37196,82457,1553700,12845,867.58,134.9
24039,25959,24747,4.9,1212,24747,1314,5.1,4677,18.0,13.9,3617,46.4,14543,10732,105,233,5,341,689,14023,56.0,41.3,0.4,0.9,0.0,1.3,2.7,54.0,227,242,5,61.9,2.5,4.2,69.5,11.6,4985,25.1,11112,1020,10.1,69.6,81100,12.5,8361,2.37,15965,39426,23.1,629,24053,11037,1038,9.4,11320,682,2989,381252,33680,399,4199,32.5,1494,13767,1814,0.0,0.0,0.0,0.0,0.0,25.5,0,0,71918,2824,125,14261,60255,190307,7286,327.21,75.7
